Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-04-22,797.5,799.75,781.0,798.0,797.75,18218.0,145.06
2014-04-23,791.0,805.0,780.6,801.5,799.7,16440.0,130.81
2014-04-25,792.0,819.0,791.7,812.0,816.2,50285.0,408.35
2014-04-28,813.0,836.7,813.0,832.0,831.05,70977.0,587.22
2014-04-29,825.05,837.95,823.1,830.0,829.6,31219.0,259.01
2014-04-30,827.25,837.35,819.95,831.05,832.15,27065.0,224.46
2014-05-02,828.6,831.95,810.0,815.2,815.2,16987.0,138.54
2014-05-05,809.0,815.0,800.25,812.0,811.2,16530.0,133.58
2014-05-06,805.0,828.0,805.0,820.0,823.8,27678.0,225.51
2014-05-07,818.15,826.0,807.0,826.0,820.85,168660.0,1381.65
2014-05-08,820.05,836.0,820.05,834.0,833.0,459137.0,3786.92
2014-05-09,830.0,845.0,810.2,836.95,838.05,30681.0,254.22
2014-05-12,830.05,848.75,790.5,838.4,839.45,326336.0,2710.69
2014-05-13,832.5,857.6,820.05,849.95,848.05,45827.0,388.79
2014-05-14,848.0,851.6,834.95,840.0,839.85,203005.0,1702.34
2014-05-15,829.85,829.85,811.0,812.0,818.9,161156.0,1320.57
2014-05-16,810.0,825.0,788.85,822.0,821.65,165901.0,1336.23
2014-05-19,829.0,880.0,805.0,877.5,873.8,53310.0,456.81
2014-05-20,884.7,888.55,860.0,874.0,874.9,26153.0,228.77
2014-05-21,861.8,909.9,861.8,876.0,880.5,59093.0,522.47
2014-05-22,885.25,895.0,876.15,881.25,887.95,382189.0,3401.9
2014-05-23,902.0,902.0,878.2,885.3,889.95,76993.0,684.69
2014-05-26,865.15,897.95,865.15,894.0,891.1,47137.0,420.17
2014-05-27,875.25,938.0,875.25,915.0,907.1,73216.0,664.73
2014-05-28,910.0,925.0,885.0,896.15,903.75,48003.0,435.48
2014-05-29,894.7,904.5,875.0,875.0,885.9,19951.0,178.05
2014-05-30,880.0,883.0,847.7,850.0,852.0,23831.0,205.44
2014-06-02,843.5,895.0,837.05,878.55,879.0,95008.0,821.92
2014-06-03,884.0,888.9,861.0,880.0,878.55,123670.0,1086.97
2014-06-04,881.0,949.0,872.25,915.0,916.85,252355.0,2302.8
2014-06-05,927.7,950.0,919.2,937.0,943.5,151751.0,1421.26
2014-06-06,936.0,960.0,932.2,944.05,944.8,73691.0,698.07
2014-06-09,945.0,954.95,911.2,917.9,922.0,33792.0,314.66
2014-06-10,922.0,945.0,906.25,935.0,931.75,28095.0,258.82
2014-06-11,931.0,939.95,914.0,921.0,925.35,22294.0,205.75
2014-06-12,898.0,939.0,881.2,920.0,925.55,54909.0,500.47
2014-06-13,913.05,923.9,911.15,919.0,915.3,90837.0,831.23
2014-06-16,913.0,927.0,905.0,917.9,917.8,54371.0,498.27
2014-06-17,919.0,952.85,910.6,919.95,916.25,36373.0,339.63
2014-06-18,909.0,937.8,909.0,924.0,928.8,30125.0,279.74
2014-06-19,920.0,951.0,914.0,944.9,942.15,73008.0,680.04
2014-06-20,935.0,944.0,927.0,930.0,929.95,37025.0,344.74
2014-06-23,925.05,934.05,921.1,930.0,929.85,17918.0,166.24
2014-06-24,925.25,940.0,925.25,930.0,929.95,20268.0,188.6
2014-06-25,929.0,939.75,925.15,926.0,931.15,21795.0,202.98
2014-06-26,924.0,938.1,900.1,906.95,904.45,32439.0,296.1
2014-06-27,905.0,929.0,905.0,921.5,925.75,21792.0,200.02
2014-06-30,921.55,944.55,921.55,934.8,934.75,42213.0,393.16
2014-07-01,934.75,973.7,932.1,950.0,952.6,88246.0,846.05
2014-07-02,952.3,975.0,950.25,956.0,958.7,59284.0,570.63
2014-07-03,953.0,962.85,931.0,948.65,950.6,69677.0,664.08
2014-07-04,933.0,959.9,933.0,950.0,947.4,17722.0,168.72
2014-07-07,945.95,969.0,932.4,966.0,958.0,23961.0,227.22
2014-07-08,975.0,975.0,936.95,940.0,945.3,28704.0,272.7
2014-07-09,935.0,954.65,917.7,935.0,938.4,24645.0,230.19
2014-07-10,929.0,965.0,929.0,950.2,953.5,47261.0,448.85
2014-07-11,946.55,957.5,931.4,937.5,936.8,18087.0,170.39
2014-07-14,939.2,950.9,924.0,928.0,928.0,18915.0,176.22
2014-07-15,930.05,942.0,920.1,925.5,925.4,17327.0,160.66
2014-07-16,925.25,988.0,925.25,944.3,947.6,157682.0,1513.46
2014-07-17,950.0,975.0,940.05,947.0,942.95,98788.0,942.24
2014-07-18,946.45,974.3,945.0,965.9,964.35,98277.0,948.15
2014-07-21,965.0,974.95,946.6,950.05,950.65,34768.0,333.93
2014-07-22,947.15,960.0,935.0,935.0,938.85,23582.0,222.22
2014-07-23,935.0,949.0,923.0,930.1,929.85,186603.0,1724.84
2014-07-24,930.0,961.1,912.0,930.0,930.2,120590.0,1134.05
2014-07-25,927.05,943.0,915.05,925.05,935.4,40363.0,374.13
2014-07-28,933.0,942.0,921.4,930.05,935.0,41011.0,382.72
2014-07-30,927.05,944.5,923.0,944.4,940.5,51416.0,480.43
2014-07-31,932.0,953.05,932.0,947.05,944.25,31896.0,301.95
2014-08-01,935.0,963.9,935.0,948.2,950.35,39278.0,374.11
2014-08-04,945.0,958.9,940.0,945.05,950.7,13756.0,130.4
2014-08-05,948.0,965.0,945.05,960.0,957.9,28100.0,268.92
2014-08-06,950.2,963.95,945.05,954.5,949.6,25747.0,244.62
2014-08-07,941.0,953.0,937.0,937.2,941.65,37557.0,356.21
