,ADANIPORTS_Volume,ADANIPORTS_Close,ASIANPAINT_Volume,ASIANPAINT_Close,AXISBANK_Volume,AXISBANK_Close,BAJAJ_AUTO_Volume,BAJAJ_AUTO_Close,BAJFINANCE_Volume,BAJFINANCE_Close,BAJAJFINSV_Volume,BAJAJFINSV_Close,BHARTIARTL_Volume,BHARTIARTL_Close,BPCL_Volume,BPCL_Close,BRITANNIA_Volume,BRITANNIA_Close,CIPLA_Volume,CIPLA_Close,COALINDIA_Volume,COALINDIA_Close,DIVISLAB_Volume,DIVISLAB_Close,DRREDDY_Volume,DRREDDY_Close,EICHERMOT_Volume,EICHERMOT_Close,GRASIM_Volume,GRASIM_Close,HCLTECH_Volume,HCLTECH_Close,HDFC_Volume,HDFC_Close,HDFCBANK_Volume,HDFCBANK_Close,HDFCLIFE_Volume,HDFCLIFE_Close,HEROMOTOCO_Volume,HEROMOTOCO_Close,HINDALCO_Volume,HINDALCO_Close,HINDUNILVR_Volume,HINDUNILVR_Close,ICICIBANK_Volume,ICICIBANK_Close,INDUSINDBK_Volume,INDUSINDBK_Close,INFY_Volume,INFY_Close,IOC_Volume,IOC_Close,ITC_Volume,ITC_Close,JSWSTEEL_Volume,JSWSTEEL_Close,KOTAKBANK_Volume,KOTAKBANK_Close,LT_Volume,LT_Close,MM_Volume,MM_Close,MARUTI_Volume,MARUTI_Close,NESTLEIND_Volume,NESTLEIND_Close,NTPC_Volume,NTPC_Close,ONGC_Volume,ONGC_Close,POWERGRID_Volume,POWERGRID_Close,RELIANCE_Volume,RELIANCE_Close,SBIN_Volume,SBIN_Close,SBILIFE_Volume,SBILIFE_Close,SHREECEM_Volume,SHREECEM_Close,SUNPHARMA_Volume,SUNPHARMA_Close,TATAMOTORS_Volume,TATAMOTORS_Close,TATASTEEL_Volume,TATASTEEL_Close,TCS_Volume,TCS_Close,TECHM_Volume,TECHM_Close,TITAN_Volume,TITAN_Close,ULTRACEMCO_Volume,ULTRACEMCO_Close,WIPRO_Volume,WIPRO_Close,NIFTY_50_Volume,NIFTY_50_Close,Label
251,4219216.0,342.7,952716.0,781.4,5385676.0,565.85,291839.0,2061.65,32021.0,4290.15,38641.0,1443.7,2442992.0,387.05,944901.0,777.3,86370.0,2344.95,2220174.0,662.3,2200905.0,364.4,82569.0,1748.5,314801.0,3402.65,32344.0,15555.5,69824.0,3580.5,1729767.0,911.95,2910239.0,1180.35,1284501.0,987.65,1765005.0,396.15,557564.0,2045.95,8244575.0,118.45,1913588.0,588.7,3653751.0,1043.75,1631482.0,412.5,2352129.0,1962.75,199121.0,201.0,6813002.0,310.75,610612.0,890.55,1648924.0,745.85,2845733.0,1004.5,736958.0,945.2,395917.0,1663.3,14582.0,6807.4,3301723.0,148.75,2237494.0,287.15,4319558.0,94.25,3192390.0,841.25,1604866.0,1785.25,237685.0,549.45,7432.0,10414.15,1596742.0,572.9,5183756.0,390.25,4901686.0,391.75,1023706.0,1993.7,10273848.0,1719.55,9704702.0,224.5,179742.0,1853.5,2198028.0,474.9,150661397.0,6059.1,1
252,2247751.0,331.2,1616619.0,760.85,7698992.0,543.3,649622.0,2020.3,16213.0,4285.4,29814.0,1438.85,13587701.0,390.2,1508176.0,748.2,224146.0,2247.3,3640420.0,636.25,3280440.0,353.1,166725.0,1716.75,407940.0,3353.4,46544.0,15080.3,109082.0,3478.0,2297639.0,891.15,5476440.0,1163.6,2751924.0,970.6,496422.0,392.95,260731.0,2051.9,6496457.0,118.75,1210047.0,583.75,2693873.0,1042.65,1533846.0,410.05,2627102.0,1922.05,453751.0,199.65,4909498.0,314.15,865556.0,919.65,250607.0,747.05,1832707.0,1006.55,1054915.0,941.5,571218.0,1659.95,17433.0,6802.75,2720076.0,146.6,3035985.0,289.9,2627355.0,92.15,2610836.0,837.95,1369101.0,1763.7,205413.0,540.3,45614.0,10330.95,1622703.0,570.15,6706436.0,399.2,4104073.0,394.75,1060489.0,1986.45,624692.0,1689.45,1384129.0,227.8,132723.0,1871.15,1563462.0,469.8,124875896.0,6057.1,1
253,1709602.0,322.8,1718402.0,765.75,5848608.0,527.35,433821.0,2067.85,12177.0,4180.55,25311.0,1379.75,7914843.0,393.65,1305842.0,729.95,111302.0,2236.35,1896392.0,627.8,2921296.0,360.8,284186.0,1725.15,419936.0,3282.9,75055.0,14806.95,39740.0,3510.55,1819982.0,920.75,3674392.0,1154.25,2934166.0,951.3,1584598.0,394.75,703532.0,2059.25,8327954.0,121.4,1302121.0,589.75,3965334.0,1038.1,1792494.0,417.5,1694996.0,1944.0,468487.0,200.1,6782276.0,313.5,884182.0,915.0,799712.0,751.9,2524017.0,1022.9,1022383.0,958.85,888680.0,1666.65,28509.0,6767.55,3627397.0,147.9,3743588.0,291.95,12340035.0,94.7,2867965.0,847.95,1843241.0,1763.6,152186.0,561.05,26718.0,10128.15,1932974.0,570.8,9112041.0,397.9,4635333.0,400.9,1402861.0,1984.6,826875.0,1692.2,2026047.0,227.25,194197.0,1910.4,2002282.0,472.6,195315802.0,6091.85,1
254,2097977.0,335.1,1127201.0,759.4,10010992.0,540.8,338090.0,2123.05,20226.0,4344.45,19207.0,1425.05,5742562.0,397.95,1110210.0,748.05,93674.0,2203.4,2770332.0,654.7,2285680.0,363.7,184516.0,1722.7,268473.0,3350.45,136892.0,15781.15,65117.0,3493.15,1789684.0,925.5,3665418.0,1185.35,2892983.0,982.0,566084.0,392.7,176816.0,2052.95,5005082.0,122.7,749207.0,594.75,2343899.0,1068.65,1346558.0,422.2,1444419.0,1957.95,689355.0,201.05,4983168.0,320.4,443577.0,918.55,573740.0,756.8,2252821.0,1045.95,655756.0,945.25,502124.0,1676.15,22452.0,6796.3,2752620.0,147.25,2952267.0,299.1,11234571.0,95.1,2259353.0,853.2,2340181.0,1819.45,223216.0,540.85,22945.0,10150.55,1545324.0,572.0,4816843.0,398.7,3549758.0,400.6,962406.0,2004.35,488704.0,1697.55,708693.0,229.05,86105.0,1907.8,1750008.0,470.8,190711115.0,6176.1,1
255,2266220.0,344.05,976348.0,771.65,6700085.0,551.1,312569.0,2182.4,15011.0,4347.1,41095.0,1442.15,4325644.0,396.2,766006.0,750.8,152610.0,2283.2,2078211.0,666.1,3000387.0,371.95,109634.0,1731.45,243378.0,3359.7,245273.0,16871.6,24452.0,3556.75,1796106.0,941.9,3535741.0,1226.1,1682836.0,990.3,606060.0,396.7,348151.0,2063.8,5004229.0,121.85,1222387.0,582.1,2884047.0,1088.3,1845832.0,433.4,1196378.0,1993.65,243156.0,203.55,3390483.0,321.5,802225.0,933.95,475375.0,770.55,2332757.0,1070.05,1013357.0,960.2,495575.0,1661.4,39358.0,6806.3,2462350.0,147.05,5912654.0,294.9,6827923.0,93.6,1650771.0,855.3,1745979.0,1822.15,213930.0,552.5,12265.0,10280.8,2473184.0,595.35,7630627.0,399.9,5921391.0,408.3,626630.0,2013.9,473212.0,1689.85,819519.0,228.45,96462.0,1899.4,2206937.0,481.25,145948276.0,6217.85,1
256,1550748.0,334.9,1137027.0,758.35,4943428.0,532.35,267754.0,2128.9,11689.0,4341.5,24330.0,1427.05,6246245.0,391.55,1093698.0,725.9,51633.0,2272.4,2714276.0,664.1,4880073.0,369.2,263806.0,1742.3,1270952.0,3468.9,130485.0,17158.55,100276.0,3488.15,1232315.0,915.65,3890498.0,1191.35,2776892.0,971.95,828428.0,398.65,176090.0,2050.4,9469051.0,124.05,904361.0,579.0,2504558.0,1085.4,1463179.0,425.55,2071223.0,1947.1,170365.0,202.25,3714111.0,319.2,779329.0,933.25,432877.0,758.7,2610275.0,1054.65,631248.0,949.25,572128.0,1663.25,38069.0,6704.45,3139503.0,145.7,3601825.0,292.4,6085824.0,93.75,2099451.0,861.9,1480691.0,1813.5,266017.0,538.7,7493.0,10073.4,2312310.0,592.9,7562749.0,399.05,5769013.0,409.8,724592.0,2020.8,416126.0,1690.9,836450.0,225.4,85852.0,1895.75,1533118.0,482.45,156852586.0,6201.85,1
257,3022877.0,340.45,839420.0,762.5,7971625.0,558.5,287030.0,2125.9,17550.0,4327.1,11085.0,1433.05,5804576.0,382.55,951663.0,735.85,95546.0,2282.6,1858476.0,676.6,2227226.0,368.95,127000.0,1744.75,390519.0,3494.15,341744.0,18089.55,32294.0,3514.2,1387412.0,937.3,2388304.0,1219.4,1947962.0,990.25,770066.0,398.7,182977.0,2031.7,5586058.0,120.7,1511053.0,572.0,2924097.0,1066.25,1277047.0,426.8,1774771.0,1956.7,285540.0,202.35,4393057.0,312.85,574210.0,931.7,547847.0,749.05,2666404.0,1039.25,590736.0,943.8,428767.0,1639.75,34511.0,6701.5,6366627.0,145.35,2760009.0,286.9,12270217.0,95.6,2002635.0,856.05,1542692.0,1817.35,505786.0,546.6,186423.0,11088.15,1827528.0,590.85,4921167.0,392.65,4210852.0,413.95,759518.0,2000.05,745317.0,1696.25,892761.0,225.05,60472.0,1875.6,2171558.0,491.35,186169067.0,6160.95,1
258,3075816.0,333.95,1975784.0,796.45,4929250.0,555.85,424064.0,2165.85,27719.0,4384.7,82944.0,1442.15,4943211.0,386.0,1440790.0,756.7,51175.0,2258.3,2412197.0,686.0,2518413.0,370.2,161901.0,1763.05,216864.0,3519.4,178440.0,18176.15,23578.0,3530.25,1126213.0,925.3,1592211.0,1209.7,1113797.0,991.05,1331974.0,396.6,167351.0,2050.5,4796038.0,121.75,1685322.0,565.35,7894018.0,1135.85,2484619.0,438.85,1558461.0,1934.8,415082.0,205.35,10274873.0,308.75,387607.0,932.45,758741.0,761.95,3427187.0,1086.45,695092.0,944.35,1947489.0,1700.15,20242.0,6854.5,4158111.0,143.85,1921726.0,290.9,7974607.0,96.3,2865154.0,871.0,2366245.0,1855.95,379784.0,559.95,82110.0,11327.7,1924907.0,576.6,5020247.0,390.3,5566862.0,421.4,698595.0,1987.15,690747.0,1682.3,1169289.0,226.7,140143.0,1871.65,1986358.0,492.9,186060466.0,6241.1,0
259,1663198.0,329.0,1503598.0,790.3,5825462.0,562.05,175574.0,2186.5,17808.0,4483.9,25467.0,1444.25,3895796.0,392.0,952260.0,767.05,95910.0,2263.9,1187367.0,683.35,2370660.0,366.9,81824.0,1795.0,195407.0,3496.45,150616.0,18722.0,33702.0,3550.25,1702804.0,913.9,1926050.0,1234.3,2038406.0,990.1,697313.0,396.45,361042.0,2095.1,5150035.0,120.5,1930183.0,559.65,3338406.0,1143.9,1758736.0,446.25,1297336.0,1961.75,539192.0,205.25,8480192.0,311.05,364746.0,927.05,629218.0,757.85,2993959.0,1096.4,552858.0,945.3,834899.0,1701.5,23138.0,7031.3,5815834.0,148.95,3146885.0,294.05,14610273.0,98.95,1668901.0,866.7,1450068.0,1859.55,1287121.0,564.15,65851.0,11820.4,1777758.0,581.3,4654055.0,390.9,4156106.0,422.7,723481.0,2000.3,475335.0,1674.75,1958279.0,231.05,108839.0,1881.35,1314035.0,493.8,158539890.0,6259.9,0
260,1370344.0,339.35,6759860.0,766.75,3944770.0,567.5,275731.0,2220.7,15292.0,4460.55,26362.0,1459.55,4385982.0,397.45,1596585.0,792.8,52922.0,2293.85,864835.0,685.55,1902932.0,366.1,97830.0,1814.95,346822.0,3622.45,162657.0,18597.75,54682.0,3551.65,1507066.0,930.55,1779600.0,1264.3,1428326.0,1009.85,643910.0,392.55,405152.0,2123.2,6669984.0,123.9,2328730.0,559.75,6164112.0,1201.7,2975182.0,466.75,1617494.0,1993.05,449198.0,208.65,6250295.0,313.05,528547.0,930.75,785979.0,763.9,6832662.0,1146.9,1205775.0,967.0,1184977.0,1763.75,37666.0,7077.35,6711355.0,153.45,4828987.0,305.05,17235229.0,101.3,2904113.0,878.95,1877504.0,1890.85,1008814.0,557.85,52061.0,11804.25,1855333.0,586.45,7847724.0,393.45,5017564.0,420.95,913170.0,2004.85,654287.0,1673.7,943496.0,229.75,288728.0,1928.5,1563447.0,507.2,198285630.0,6363.9,0
